file,model,precision,accuracy,f1_macro,auc_roc,latency_ms,model_size_mb,total_params
cnn1d_qat_int8_metrics.json,cnn1d,qat_int8,0.9752443823790783,0.8931325186890493,0.9984203772971234,1.7545380000956357,0.7647562026977539,0
resnet1d_fp16_metrics.json,resnet1d,fp16,0.9727053446743684,0.8667621996451974,0.9983968959148803,23.72324599942658,8.415904998779297,2201669
cnn1d_fp16_metrics.json,cnn1d,fp16,0.964516948076679,0.8366734343701214,0.9981595989234215,0.7466649994603358,2.983684539794922,781701
resnet1d_fp32_metrics.json,resnet1d,fp32,0.9639456645931193,0.8461289359071771,0.9980703762554238,2.3151520000828896,8.415904998779297,2201669
resnet1d_int8_dynamic_metrics.json,resnet1d,int8_dynamic,0.9636917608226482,0.8451959867221266,0.9980735536805142,4.01629200350726,8.3500337600708,2168128
bilstm_fp16_metrics.json,bilstm,fp16,0.9580424019296686,0.8244626109193547,0.9965791183853948,3.67512499957229,2.4353370666503906,638213
bilstm_fp32_metrics.json,bilstm,fp32,0.9490922940205662,0.7978632210572876,0.9963720506337227,70.88157899983344,2.4353370666503906,638213
cnn1d_int8_cal500_metrics.json,cnn1d,int8_cal500,0.9459819728322966,0.7907963462270822,0.9977617912709412,1.7580159989302047,0.7647562026977539,0
transformer_fp32_metrics.json,transformer,fp32,0.9457915450044433,0.789261561191284,0.9944690793192702,1.1329920012212824,0.4126167297363281,105797
cnn1d_int8_cal1000_metrics.json,cnn1d,int8_cal1000,0.9457280690618256,0.7899611768286832,0.9977207677298271,1.664951999555342,0.7647562026977539,0
cnn1d_int8_cal2000_metrics.json,cnn1d,int8_cal2000,0.9455376412339723,0.7897424130802739,0.9977585105121749,1.8437770000309683,0.7647562026977539,0
cnn1d_int8_static_metrics.json,cnn1d,int8_static,0.945347213406119,0.7892778951128175,0.9977140273025344,1.4241109989234246,0.7647562026977539,0
cnn1d_int8_cal250_metrics.json,cnn1d,int8_cal250,0.9445855020947062,0.7874073517557468,0.9977623982819088,1.7408360002445988,0.7647562026977539,0
cnn1d_int8_cal100_metrics.json,cnn1d,int8_cal100,0.9445220261520884,0.7872651375217424,0.9977325939282704,1.5492869992158376,0.7647562026977539,0
cnn1d_int8_cal50_metrics.json,cnn1d,int8_cal50,0.9444585502094706,0.7873872043275576,0.997807028357952,2.0206259976839647,0.7647562026977539,0
cnn1d_int8_per_channel_metrics.json,cnn1d,int8_per_channel,0.9439507426685286,0.7862362256459428,0.9978055503505951,1.7614959983620793,0.7647562026977539,0
cnn1d_int8_per_tensor_metrics.json,cnn1d,int8_per_tensor,0.9439507426685286,0.7861537889230634,0.9977882871559253,2.0247349978308193,0.7554521560668945,0
cnn1d_int8_cal10_metrics.json,cnn1d,int8_cal10,0.9437603148406754,0.7862094142149321,0.9977594703936175,2.0140169947990216,0.7647562026977539,0
cnn1d_fp32_metrics.json,cnn1d,fp32,0.9419829884473785,0.7830414866743862,0.9977950527766822,0.622647999698529,2.983684539794922,781701
cnn1d_int8_dynamic_metrics.json,cnn1d,int8_dynamic,0.9414751809064364,0.7821796665463834,0.9977913765380038,1.1843509989557788,0.86041259765625,35712
transformer_fp16_metrics.json,transformer,fp16,0.9384283356607845,0.7822529241060756,0.9954654849296496,1.0779680013365578,0.4126167297363281,105797
