Model,Precision,Accuracy,F1_Macro,AUC_ROC,Latency_ms,Size_MB,Params
bilstm,fp16,0.9580424019296686,0.8244626109193547,0.9965791183853948,3.67512499957229,2.4353370666503906,638213
bilstm,fp32,0.9490922940205662,0.7978632210572876,0.9963720506337227,70.88157899983344,2.4353370666503906,638213
cnn1d,fp16,0.964516948076679,0.8366734343701214,0.9981595989234215,0.7466649994603358,2.983684539794922,781701
cnn1d,fp32,0.9419829884473785,0.7830414866743862,0.9977950527766822,0.622647999698529,2.983684539794922,781701
cnn1d,int8_dynamic,0.9414751809064364,0.7821796665463834,0.9977913765380038,1.1843509989557788,0.86041259765625,35712
cnn1d,int8_static,0.945347213406119,0.7892778951128175,0.9977140273025344,1.4241109989234246,0.7647562026977539,0
cnn1d,qat_int8,0.9752443823790783,0.8931325186890493,0.9984203772971234,1.7545380000956357,0.7647562026977539,0
resnet1d,fp16,0.9727053446743684,0.8667621996451974,0.9983968959148803,23.72324599942658,8.415904998779297,2201669
resnet1d,fp32,0.9639456645931193,0.8461289359071771,0.9980703762554238,2.3151520000828896,8.415904998779297,2201669
resnet1d,int8_dynamic,0.9636917608226482,0.8451959867221266,0.9980735536805142,4.01629200350726,8.3500337600708,2168128
transformer,fp16,0.9384283356607845,0.7822529241060756,0.9954654849296496,1.0779680013365578,0.4126167297363281,105797
transformer,fp32,0.9457915450044433,0.789261561191284,0.9944690793192702,1.1329920012212824,0.4126167297363281,105797
